Hotel_Name,Hotel_Rating,City,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Stars
Anies Garden | Rooms in a Homestay,4.3,trivandrum,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1645,5
Treebo Trend Goodland Residency,4.1,trivandrum,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4265,3
Windsor Rajadhani,4.1,trivandrum,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4341,4
Backwater Ripples,4.4,kumarakom,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8968,3
Lakesong Resort,4.2,kumarakom,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,11948,4
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6921,4
Cocobay Resort,4.2,kumarakom,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6138,3
Paradise Resorts Kumarakom,4.1,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Airport shuttle,5148,3
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,13682,5
Saro Lake County,4,kumarakom,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,2945,3
Kumarakom Heritage Resort & Ayurveda,4.1,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,5355,3
Rhythm Kumarakom,4.5,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,14712,5
Manor Backwater Resort,3.8,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,3024,3
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3549,3
KTDC Waterscapes,4.5,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10560,4
Backwater Brook,4.7,kumarakom,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,0,5063,3.545108005
Gokulam Grand Resort and Spa Kumarakom,4.7,kumarakom,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,Room service,14059,3.545108005
Backwater Ripples,4.4,kumarakom,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8961,3
Lily Pad on the Vembanad,4.2,kumarakom,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,6160,3
Kumarakom Lake Resort,4.8,kumarakom,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,30267,5
Renai Green Fields,3.8,kumarakom,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2849,3
Kumarakom Park Resort,4.3,kumarakom,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,6726,3.545108005
Meenakshi River Villa | Rooms & Wi-Fi,4.5,kumarakom,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3488,6
Kumarakom Wood Castle,4.4,kumarakom,1 bedroom,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2861,3
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7999,4
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3724,3
Treebo Trend Kuval Inn,4.2,pune,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,2084,3.545108005
Hotel Corporate Stay,4,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123,3
Jugglers Backpack,4.7,pune,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,1116,3.545108005
Hyatt Pune,4.4,pune,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,9701,5
"The Central Park Hotel, Pune",4.1,pune,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3708,4
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6796,5
Hotel Phoenix,4,pune,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2752,3
Hotel anvisha executive,4.4,pune,0,0,0,0,0,0,0,0,1067,0
EMA Family Rooms,3.8,pune,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,1241,6
JM Four Hotel,3.9,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550,3
Royal Orchid Central Pune,4.3,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5085,4
"StayBird - B Suite, Business Hotel",4,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512,3
Hotel Sardar,3.5,pune,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1344,3
Sunny's World,4.2,pune,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549,3.545108005
Procida Hostel by Zero Jhanjhat,4.4,pune,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0,921,3.545108005
