Hotel_Name,Hotel_Rating,City,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Stars
Radisson Blu Resort Goa Cavelossim Beach,4.4,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,15898,5
"Vivanta Goa, Miramar",4.5,goa,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Fitness center,Restaurant,Room service,11788,5
Mayfair on Sea,4.5,goa,0,0,0,0,0,0,0,0,10620,0
"The Zuri White Sands, Goa Resort & Casino",4.4,goa,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,16795,5
The Queeny,3.4,goa,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,1435,3
"Holiday Inn Goa Candolim, an IHG Hotel",4.7,goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,15503,5
"Taj Holiday Village Resort and Spa, Goa",4.7,goa,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,26550,5
ibis Mumbai Vikhroli,4.5,mumbai,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,Airport shuttle,7392,3.545108005
The Lalit Mumbai,4.4,mumbai,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,14278,5
JW Marriott Mumbai Juhu,4.6,mumbai,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Breakfast,Beach access,5725,5
Empire Royale Hotel,4.4,mumbai,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Kitchen,Full-service laundry,0,1582,3
"The Taj Mahal Palace, Mumbai",4.7,mumbai,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,33021,5
Grand Hyatt Mumbai Hotel & Residences,4.5,mumbai,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,14025,5
Shahana Guest House,3.1,mumbai,Breakfast,Free Wi-Fi,Air conditioning,Full-service laundry,0,0,0,0,635,2
SAINA RESORT,3.6,mumbai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Accessible,Kid-friendly,5082,3
Stay Villa Dormitory (for Male and Female),5,mumbai,Sleeps 28,28 bedrooms,7 bathrooms,Air conditioning,Kid-friendly,Kitchen,Smoke-free,No fitness center,952,3.545108005
Hotel Milan International,3.9,mumbai,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1389,3.545108005
Gagal Home BKC Suite | Rooms & Caretaker,3.7,mumbai,2 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,4208,4
Qubestay Airport Capsule Hotel And Hostel,4.1,mumbai,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,0,1334,3.545108005
"Ginger Mumbai, Goregaon",4,mumbai,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,4031,3.545108005
The Lalit Mumbai,4.4,mumbai,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11101,5
Royal Palms Villas with Private Pool,4,mumbai,Paid parking,Pool,Spa,Kitchen,Full-service laundry,0,0,0,20536,3.545108005
The Leela Mumbai - Resort Style Business Hotel,4.5,mumbai,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11210,5
Hotel Nest N Rest - Mumbai,4.4,mumbai,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,1116,3.545108005
Novotel Mumbai Juhu Beach,4.3,mumbai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Beach access,11785,5
Airport inn residency,3.7,mumbai,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1109,3
Courtyard by Marriott Mumbai International Airport,4.4,mumbai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11103,4
JW Marriott Mumbai Sahar,4.6,mumbai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,12963,5
The Westin Mumbai Garden City,4.5,mumbai,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,Breakfast,12963,5
"Holiday Inn Mumbai International Airport, an IHG Hotel",4.5,mumbai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10619,4
Novotel Mumbai Juhu Beach,4.3,mumbai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Beach access,11800,5
Fairfield by Marriott Lucknow,4.3,lucknow,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4816,4
Novotel Lucknow Gomti Nagar,4.5,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Bar,6551,5
Townhouse 1166 Bsa Townhouse,3.7,lucknow,Sleeps 3,1 bedroom,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,1296,3.545108005
Hyatt Regency Lucknow,4.4,lucknow,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480,5
Fairfield by Marriott Lucknow,4.3,lucknow,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4814,4
Radisson Lucknow City Center,4.3,lucknow,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,4189,3
Taj Mahal Lucknow,4.6,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10936,5
The Regnant,4.2,lucknow,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3892,3.545108005
Hilton Garden Inn Lucknow,4.3,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5663,4
Ginger Lucknow,4,lucknow,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2664,3
DCorbiz Hotel & Restaurant,4,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2108,3
Hotel Aryan,3.8,lucknow,Free Wi-Fi,Room service,Kitchen,Full-service laundry,Kid-friendly,0,0,0,587,2
Hotel Golden Orchid,4,lucknow,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,2218,3
Fortune Park BBD - Hotel in Lucknow,4.3,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7197,4
Hotel Millenia Regency Lucknow,4.2,lucknow,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2814,3.545108005
Golden Tulip Lucknow,4.2,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7271,4
The Grand Radiant-3 Star Hotel in Lucknow,4,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2453,4
Comfort Inn,4.1,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3394,3
"lebua Lucknow, Saraca Estate",4.3,lucknow,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,7621,4
Comfort Hotel Vista,4.6,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6160,3
Hilton Garden Inn Lucknow,4.3,lucknow,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5664,4
The Park Hotel,4.4,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7295,5
"The Oberoi Grand, Kolkata",4.4,kolkata,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4534,5
"The Oberoi Grand, Kolkata",4.4,kolkata,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6048,5
The Elite Apartment Hotel,4.7,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,784,3
Golden Parkk Hotel,4,kolkata,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Bar,Restaurant,Room service,3790,3
Aristro Club,4,kolkata,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1344,3
The Panash (Hotel and Banquets),4.4,kolkata,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1565,3.545108005
HOTEL ORCHID INN,4.2,kolkata,Paid parking,Pool,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,0,0,1027,3.545108005
Bubble Beds Kolkata,4.3,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Business center,862,2
Hotel Platinum,3.9,kolkata,Free breakfast,Wi-Fi,Pool,Air conditioning,Pet-friendly,Restaurant,Kitchen,Full-service laundry,1464,3
Aster Guest House Kolkata,4,kolkata,Free Wi-Fi,Air conditioning,Pet-friendly,Paid parking,Restaurant,Full-service laundry,Kid-friendly,0,2885,3.545108005
Hotel Radiant (Kolkata),4,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2731,3
Hotel Afsha,3.4,kolkata,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,0,1285,3.545108005
backpackers park,4,kolkata,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Full-service laundry,0,0,1103,3.545108005
Hotel Mayfair tower,4,kolkata,0,0,0,0,0,0,0,0,1680,0
"The Manor House, Kolkata",4.4,kolkata,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,3880,3.545108005
Barsana Boutique Hotel,4.3,kolkata,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,3719,3
Hotel Pan Asia Continental (A Unit Of Sharda Resources Limited),4.1,kolkata,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3074,3
Hotel Emirates,4,kolkata,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,3014,2
The Aster Heritage,4.7,kolkata,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Full-service laundry,Business center,Kid-friendly,2778,3.545108005
Calcutta Bungalow| Heritage Rooms,4.9,kolkata,6 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,8604,13
"BhubanBari historic house airy twin room w 2 baths, kitchen, garden terrace",5,kolkata,Sleeps 2,1 bedroom,2 bathrooms,Kid-friendly,Kitchen,Smoke-free,Free parking,No air conditioning,2856,3.545108005
Hotel Pawan Putra,4.1,kolkata,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Full-service laundry,0,2436,3
"FabHotel Orion Crystal - Hotel in Park Circus, Kolkata",4.1,kolkata,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2652,3.545108005
The Elanza Hotel,4.1,bangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3968,4
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480,4
Kadackal Farmhouse | Rooms & Pool,4.2,bangalore,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,No crib,No elevator,No fitness center,4012,9
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",4.1,bangalore,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4480,4
Kings Palace Manyata,3.2,bangalore,3 bedrooms,Air conditioning,Elevator,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,891,8
Prestige Residency,3.1,bangalore,Breakfast,Room service,Kitchen,Full-service laundry,0,0,0,0,609,3.545108005
Hotel TAP Paradise,3.4,bangalore,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,539,1
Regenta Inn Grand Koramangala,4.6,bangalore,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,3192,3.545108005
Guhantara,3.7,bangalore,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Full-service laundry,4803,3
Palm Meadows Resort,4.5,bangalore,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6745,5
Holiday Inn Express & Suites Bengaluru OMR,4.4,bangalore,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,4930,4
Howard Johnson by Wyndham Bengaluru Hebbal,4.1,bangalore,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,4636,4
The Signature Inn,3.8,bangalore,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,756,3
"Radisson Blu Hotel, Atria Bengaluru",4.4,bangalore,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6300,5
SAP Golden Grande,4,bangalore,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,792,3
Royal Regency Lodge,3.8,bangalore,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Room service,Airport shuttle,Full-service laundry,Accessible,909,3
The Chancery Pavilion,4.1,bangalore,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5376,5
Bangalore Gate Hotel & Conferences,4.1,bangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2804,3
"Holiday Inn Bengaluru Racecourse, an IHG Hotel",4.4,bangalore,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,6298,5
Gokulam Grand Hotel & Spa,4.3,bangalore,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6228,5
"Taj Yeshwantpur, Bengaluru",4.5,bangalore,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11800,5
Attide Boutique Hotel,4.2,bangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3863,4
Hyatt Place Hyderabad Banjara Hills,4.3,hyderabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,11209,4
Trident Hotel Hyderabad,4.5,hyderabad,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10974,5
The Wilderness Retreat,4,hyderabad,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,4928,3.545108005
Hyderabad Marriott Hotel & Convention Centre,4.4,hyderabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7112,5
Citadel Hotels & Conventions By Vinnca,4.4,hyderabad,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3640,3.545108005
Hotel Rainbow Tower,4.5,hyderabad,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1187,3.545108005
"Deccan Serai Hotel, HITEC CITY, HYDERABAD",4.2,hyderabad,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3436,3
Taramati Baradari Resort,4.2,hyderabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2520,3
The Grand Plaza Hotel,3.8,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,1240,3
Taj Falaknuma Palace,4.7,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,46573,5
"Lemon Tree Hotel, Gachibowli, Hyderabad",4.2,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4910,4
Hotel Shubham Palace - Karmanghat,4.3,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2371,3
RESTEL STUDIO FLATS,4.2,hyderabad,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,Airport shuttle,2576,3.545108005
Ellaa Hotel,4.8,hyderabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4349,4
Zibe Hyderabad by GRT Hotels,4.5,hyderabad,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4520,3
Ananya Eco Resorts,3.9,hyderabad,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kid-friendly,0,0,0,3808,3.545108005
Hotel Daspalla Hyderabad,4.2,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5446,4
Capital O Jubilee Banjara Suites Near City Center Mall,3.2,hyderabad,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1044,3.545108005
Luxury House in Hyderabad With Chef and Driver,5,hyderabad,3 bedrooms,4 bathrooms,Kitchen,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,10115,6
"Taj Krishna, Hyderabad",4.5,hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,11800,5
The Wilderness Retreat,4,hyderabad,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Full-service laundry,Kid-friendly,5668,3.545108005
Treebo Trend South Avenue With Roadside View,3.8,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,9558,3
The Bull Boutique Hotel,4.3,pondicherry,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,4129,3.545108005
Aashikha Farm House,4.8,pondicherry,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Room service,Kitchen,Airport shuttle,1974,3.545108005
HOMESTAY HOTEL LA VILLA PONDI CHÉRIE GUESTHOUSE ROOMS,4.3,pondicherry,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Restaurant,904,3.545108005
La Grrande Malar - The Boutique Hotel Pondicherry,4.4,pondicherry,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,2344,3.545108005
Treebo Trend Grace Inn,4.2,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,9698,3
Hotel Bon Sejour,3.8,pondicherry,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,4415,3
Esparan Heritage,4.3,pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1990,3
La Maison Pondichéry - Heritage Guesthouse,4.4,pondicherry,Free Wi-Fi,Free parking,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry,3846,3.545108005
Lotus Comfort- A Pondy Hotel,3.6,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,1734,3
Pleasant Inn,3.9,pondicherry,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,1016,1
A La Villa Creole,4.2,pondicherry,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,1659,3
Hotel Le Royal Park,4.1,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3415,3
Raj Residency,4.2,pondicherry,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1593,1
Hotel Ram International,3.9,pondicherry,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1939,3
Prince Park Farm House,3.9,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2258,3
Hotel D'Inn,3.6,pondicherry,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,1190,3
Hotel Annamalai International,4,pondicherry,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3724,3
Nomad House,4.5,pondicherry,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,0,1381,3.545108005
Villa Sentosa,4.1,pondicherry,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,2168,3.545108005
Her View I Luxe Room & Kitchen,3.2,pondicherry,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,3306,12
Maison Petite Singapore,3.9,pondicherry,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle,2521,3.545108005
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956,4
HOTEL AMALFI GRAND,4.1,patna,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4004,4
Hotel Fortune..,3.6,patna,Free Wi-Fi,Paid parking,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,1200,3
HOTEL AMALFI GRAND,4.1,patna,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,2935,4
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,patna,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2438,3.545108005
"Lemon Tree Premier, Patna",4.1,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6472,4
The Grand Empire | Best 4 Star Luxury Hotel in Patna,4,patna,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,4662,4
Hotel Gargee Grand | Best Hotel in Patna,4.1,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4956,4
Ghar Aangan Resort,3.9,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,2902,3
The Park Pride,4.2,patna,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2837,3.545108005
"Hotel Virasat Retreat, Opposit Medanta Hospital,Patna",4,patna,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,1712,3.545108005
Buddha Heritage,4,patna,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,3015,3
Hotel Maurya,4.3,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,10112,5
Hotel Mundrika Deluxe,3.2,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1300,3
Hotel Aurelia Pearl,4.8,patna,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Smoke-free,0,0,1846,3.545108005
The Hotel Bliss | Best Hotels in Patna,4.1,patna,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1450,3.545108005
The AVR Hotel,4.1,patna,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2438,3
Super OYO Townhouse OAK Holiday Grand,3.3,patna,Sleeps 7,Air conditioning,Kitchen,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,1553,3.545108005
Hotel Windsor,3.9,patna,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4536,3
"Lemon Tree Premier, Patna",4.1,patna,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6882,4
Treebo Trend Seven Suites,3.5,nagpur,Free breakfast,Free Wi-Fi,Air conditioning,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,2488,3
Treebo Trend Chalets,4.2,nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,3008,3
Radisson Blu Hotel Nagpur,4.5,nagpur,Breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9361,5
Regenta Central Hotel & Convention Centre,4,nagpur,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3830,4
Hotel The Embassy,4.1,nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,3395,3
Hotel Centre Point,4.3,nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4681,5
"The Legend Inn, Nagpur",4,nagpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,3276,3
Orange Tree Hotels,4.4,nagpur,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,0,3042,3.545108005
Octave Parkland Suites,4.3,nagpur,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,2099,3.545108005
"RSVP NAGPUR(Restro-bar,Rooftop & Rooms)",4,nagpur,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2300,3.545108005
Treebo Trend Chalets,4.2,nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2989,3
Hotel Orient Crown,3.9,nagpur,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Smoke-free,0,1677,3.545108005
Hotel Maitrayee,4.6,nagpur,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2384,3.545108005
